"category" "categorySum" "categoryOriginalSum" "categoryIsEqual"
"1" "gospodarstwa.ogółem.gospodarstwa.2006...." 9187 9187 TRUE
"2" "gospodarstwa.ogółem.gospodarstwa.2007...." 11870 11870 TRUE
"3" "gospodarstwa.ogółem.gospodarstwa.2008...." 14896 14896 TRUE
"4" "gospodarstwa.ogółem.gospodarstwa.2009...." 17091 17091 TRUE
"5" "gospodarstwa.ogółem.gospodarstwa.2010...." 20582 20582 TRUE
"6" "gospodarstwa.ogółem.gospodarstwa.2011...." 23449 23449 TRUE
"7" "gospodarstwa.ogółem.gospodarstwa.2012...." 25944 25944 TRUE
"8" "gospodarstwa.ogółem.gospodarstwa.2013...." 26598 26598 TRUE
"9" "gospodarstwa.ogółem.gospodarstwa.2014...." 24829 24829 TRUE
"10" "gospodarstwa.ogółem.gospodarstwa.2015...." 22277 22277 TRUE
"11" "gospodarstwa.ogółem.gospodarstwa.2016...." 22435 22435 TRUE
"12" "gospodarstwa.ogółem.gospodarstwa.2017...." 20257 20257 TRUE
"13" "gospodarstwa.ogółem.gospodarstwa.2018...." 19207 19207 TRUE
"14" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2006..ha." 228039 228038 FALSE
"15" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2007..ha." 287530 287529 FALSE
"16" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2008..ha." 314852 314848 FALSE
"17" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2009..ha." 367061 367062 FALSE
"18" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2010..ha." 519070 519069 FALSE
"19" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2011..ha." 605521 605520 FALSE
"20" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2012..ha." 661686 661688 FALSE
"21" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2013..ha." 669971 669970 FALSE
"22" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2014..ha." 657902 657902 TRUE
"23" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2015..ha." 580731 580730 FALSE
"24" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2016..ha." 536577 536579 FALSE
"25" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2017..ha." 494977 494978 FALSE
"26" "gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2018..ha." 484676 484677 FALSE
